PartNo,Freq,TotalQty,PartName,BoxType,CubM,UnitLabelQt,ModuleSizeL,ModuleSizeV,ModuleSizeH,VolumePerPiece,Volume,Viscosity,Rank,Category
H3816888500,163,81500,FASTENER,4A014,0.003289,500,230,130,110,6.578e-06,0.536107,222.618814379329,147,Medium
CD8466290D02,492,49200,POWER OUTLET,4B016,0.01,100,240,280,240,1e-04,4.92,221.810730128188,148,Medium
DN3266120C,2428,12140,SWITCH-COMBI,4I-,0.05,5,600,400,220,0.01,121.4,220.363336333429,149,Medium
994641020,195,87750,BOLT,4A022,0.004032,450,240,140,120,8.96e-06,0.78624,219.916109546562,150,Medium
D6516851XC02,476,19040,"GARN-R SAIL IN,RH",4B031,0.01,40,240,280,240,0.00025,4.76,218.174242292714,151,Medium
D6516851YC02,476,19040,"GARN-R SAIL IN,LH",4B031,0.01,40,240,280,240,0.00025,4.76,218.174242292714,152,Medium
DP0446086,462,27659,BRKT-CABLE,4Q-,0.01,60,240,280,240,0.000166666666666667,4.60983333333333,215.178741713549,153,Medium
9XG15402X0,368,183500,SCREW,8AJ16,0.008064,500,280,240,120,1.6128e-05,2.959488,213.914156772555,154,Medium
994790616,184,183986,SCREW,IA033,0.004032,1000,240,140,120,4.032e-06,0.741831552,213.631442258282,155,Medium
9YA42A815,183,183000,BOLT,4A064,0.004032,1000,240,140,120,4.032e-06,0.737856,213.042025811587,156,Medium
DK5267C11,368,185500,CLIP,4B11,0.008064,500,280,240,120,1.6128e-05,2.991744,212.757855563972,157,Medium
9XG00087X0,182,90840,CLIP,8AA66,0.004032,500,240,140,120,8.064e-06,0.73253376,212.646170332393,158,Medium
DJ3543825A,182,45500,CLIP-VAC HOSE,4B23--,0.004032,250,240,140,120,1.6128e-05,0.733824,212.459146399699,159,Medium
DN2067791,446,13380,UNIT BURGLAR ALM,4B-,0.01,30,280,230,240,0.000333333333333333,4.46,211.187120819429,160,Medium
DN2067792,446,13380,BRKT-BURGLAR ALM,4B-,0.01,30,280,230,240,0.000333333333333333,4.46,211.187120819429,161,Medium
BN8V56840B,442,22100,STRIKER ASSY-LID,4B025,0.01,50,240,280,240,2e-04,4.42,210.237960416286,162,Medium
G03168866B,188,198802,FASTENER-SEAL,4A086,0.004032,1000,240,140,120,4.032e-06,0.801569664,209.984487652883,163,Medium
ZJ3918861A,440,17600,SENSOR-OXYGEN,4B024,0.01,40,240,280,240,0.00025,4.4,209.76176963403,164,Medium
9YB040608,175,349811,NUT FLANGE,4A062,0.004032,2000,240,140,120,2.016e-06,0.705218976,208.38960612484,165,Medium
D65157529A,432,172653,LOCK-CUSHION,4B014,0.01,400,240,280,240,2.5e-05,4.316325,207.934560113606,166,Medium
D65132980A02,3830,19150,BOSS ASSY-STEER,4STW,0.09,5,400,400,620,0.018,344.7,206.289979290211,167,Medium
DK5142YA3D,1267,45606,SE FU/FILL OPG,4Q-,0.03,36,240,560,240,0.000833333333333333,38.005,205.52101989769,168,Medium
D65232980C02,169,841,BOSS ASSY-STEER,4STW-J,0.004032,5,240,140,120,0.0008064,0.6781824,205.217053231493,169,Medium
DN3213425,416,45760,BRKT-FUEL HOSE,4B56,0.01,110,240,280,240,9.09090909090909e-05,4.16,203.960780543711,170,Medium
B45532099B,166,91252,BOLT-SET,4A072,0.004032,550,240,140,120,7.33090909090909e-06,0.668960116363636,202.958841462758,171,Medium
9YA020667,166,166000,BOLT,4A042,0.004032,1000,240,140,120,4.032e-06,0.669312,202.905482726897,172,Medium
DK5166YL2,144,45410,WSHR FRT PLR,5A-25,0.004032,350,240,140,120,1.152e-05,0.5231232,199.095067917685,173,Medium
DF7169531A75,158,15800,HANGER-COAT,4A032,0.004032,100,240,140,120,4.032e-05,0.637056,197.955823194237,174,Medium
DK5068YB1,155,92342,RET DR SCF PLT,5A,0.004032,600,240,140,120,6.72e-06,0.62053824,196.764806758043,175,Medium
DN3215186A,2280,45600,"HOSE-WATER,UP",II68,0.06,20,560,480,230,0.003,136.8,194.935886896179,176,Medium
DK5167C93A,153,91800,CLIP,4B46--,0.004032,600,240,140,120,6.72e-06,0.616896,194.798430618495,177,Medium
9XG093322M,371,1094870,NUT STAMPED M6HF,8AF13,0.01,3000,250,250,190,3.33333333333333e-06,3.64956666666667,194.201803584087,178,Medium
DK5157K30,1131,33930,SAS UNIT,4Q-,0.03,30,240,560,240,0.001,33.93,194.164878389476,179,Medium
9XG150652M,304,45750,BOLT M10X65 HF PIL,8AB22,0.008064,150,280,240,120,5.376e-05,2.45952,193.842233131233,180,Medium
9YA770501,151,271800,SCREW-TAPPING,4A063,0.004032,1800,240,140,120,2.24e-06,0.608832,193.521050083439,181,Medium
D35441673,371,74181,GROMMET,4B021,0.01,200,240,280,240,5e-05,3.70905,192.638268350911,182,Medium
9XG12993X3,290,226400,BOLT M8X21 PC TI P,8AH16,0.008064,800,280,240,120,1.008e-05,2.282112,191.968300720945,183,Medium
D53146550,368,36800,BRKT-CABLE,4B026,0.01,100,240,280,240,1e-04,3.68,191.833260932509,184,Medium
DG804371Y,4349,173958,"SENS ASSY-ABS,R,RH",4H035,0.12,40,480,560,480,0.003,521.874,190.373536338756,185,Medium
9YB160610,142,85200,NUT,4A014,0.004032,600,240,140,120,6.72e-06,0.572544,187.665271076601,186,Medium
9XG14273ZA,282,183300,BOLT M8X33 RC TI PI,8AD36,0.008064,650,280,240,120,1.24061538461538e-05,2.274048,187.003310385774,187,Medium
DK5161190D,2092,41822,CONTROL ASSY-HEATER,Z3013,0.06,20,560,480,240,0.003,125.466,186.766359718765,188,Medium
BP4K67519A,140,70000,CLIP,4A084,0.004032,500,240,140,120,8.064e-06,0.56448,186.338998124983,189,Medium
DK5162310D,1037,26894,LATCH ASSY-LIFTGATE,4Q-,0.03,26,480,280,240,0.00115384615384615,31.0315384615385,186.156027520962,190,Medium
FU5119065,138,165600,NUT,4A081,0.004032,1200,240,140,120,3.36e-06,0.556416,185.003217475239,191,Medium
9YA420609,137,204086,BOLT-EARTH,4A065,0.004032,1500,240,140,120,2.688e-06,0.548583168,184.969161607617,192,Medium
DL3357K30,1000,40000,SAS UNIT,4Q-,0.03,40,240,560,240,0.00075,30,182.574185835055,193,Medium
9XG013892M,266,212280,BOLT&WSHR M6X27.5 H,8AD25,0.008064,800,280,240,120,1.008e-05,2.1397824,181.843101930827,194,Medium
9YA650503,133,345800,SCREW-TAPPING,4A036,0.004032,2600,240,140,120,1.55076923076923e-06,0.536256,181.620789314195,195,Medium
9YB160611,131,260418,NUT,4A073,0.004032,2000,240,140,120,2.016e-06,0.525002688,180.796713708702,196,Medium
D65159951,1959,41139,"PAD,#1,LH",4I011,0.06,21,480,560,240,0.00285714285714286,117.54,180.693109995927,197,Medium
D65158951,1954,41034,"PAD,#1,RH",4I024,0.06,21,480,560,240,0.00285714285714286,117.24,180.462369115189,198,Medium
9XG133920M,262,170300,NUT M12X1 5,8AD56,0.008064,650,280,240,120,1.24061538461538e-05,2.112768,180.250046782461,199,Medium
DN3215185A,1875,37498,"HOSE-WATER,LOW",4Z30,0.06,20,560,480,230,0.003,112.494,176.781409530415,200,Medium
9YA590605A,126,56700,BOLT,IAXXX,0.004032,450,240,140,120,8.96e-06,0.508032,176.776695296637,201,Medium
9XF000242M,148,88254,BOLT,8AE42,0.004788,600,280,190,90,7.98e-06,0.70426692,176.357149472612,202,Medium
G51861764A,122,15860,SENSOR-AMBIENT,4A084,0.004032,130,240,140,120,3.10153846153846e-05,0.491904,173.948085669077,203,Medium
D65141600A,1806,37926,PEDAL ASSY-ACCEL,4I044,0.06,21,480,560,240,0.00285714285714286,108.36,173.493515728975,204,Medium
DN343717XA,1795,43045,CAP ASSY-WHL,2M17,0.06,24,560,480,250,0.0025,107.6125,173.034655445468,205,Medium
9XG15599X0,240,478584,RIVET BLIND 5 85,8AXXX,0.008064,2000,280,240,120,4.032e-06,1.929650688,172.771415894667,206,Medium
DN0357KM0,1772,10632,"A/B-CURTAIN,RH",4DGP,0.06,6,480,560,240,0.01,106.32,171.852650062003,207,Medium
9XG00671X0,270,539200,FASTENER,8AB21,0.009216,2000,240,160,240,4.608e-06,2.4846336,171.290227898706,208,Medium
9XG096389L,223,38880,BOLT,8AE42,0.0078,175,300,200,130,4.45714285714286e-05,1.73293714285714,169.40002025347,209,Medium
L20642240A,860,41280,COVER-DUST,4CD01,0.03,48,240,560,240,0.000625,25.8,169.312334656004,210,Medium
9XF004332M,229,91440,SCREW,8AA64,0.008064,400,280,240,120,2.016e-05,1.8434304,168.663888931884,211,Medium
DP04194J1,848,29680,COVER-END,4J75--,0.03,35,480,560,120,0.000857142857142857,25.44,168.126936172247,212,Medium
DH06676N8A,281,3372,BRKT-KEYLESS,4B036,0.01,12,390,290,150,0.000833333333333333,2.81,167.630546142402,213,Medium
9XG03453X0,111,44380,CLIP,8AE16,0.004032,400,240,140,120,1.008e-05,0.4473504,165.958332984135,214,Medium
