FrequencyRank,ViscosityRank,PartNo,PartName,Prefix,Frequency,DemandVolume_m3,Viscosity,AllocatedVolume_m3,Benefit,ReplenishTrips,BoxWidth_m,BoxDepth_m,BoxHeight_m,TotalBoxesNeeded,WidthNeeded_m,Cabinet,Floor,PositionID,SubPosStart_m,SubPosEnd_m,X,ErgonomicScore,AssociatedWith,AssociationGroup
13,39,DP0757730C,BELT-B,DP0,3609,72.18,424.794067755189,0.578278398322139,5345.71840839736,124.818772773509,0.38,0.3,0.25,29,1.98,9,3,C09F3,0,1.98,5.99,100,"",0
14,66,D6513438XB,BRG-STRUT,D65,3566,106.98,344.770455037358,0.704011619964635,4852.63421328101,151.957719114599,0.56,0.24,0.23,24,1.98,1,5,C01F5,0,1.98,0.99,60,"",0
15,77,DJ3534170,LINK-CONTROL,DJ3,3285,98.55,330.907842155486,0.675704552438064,4382.28349777102,145.847766815265,0.24,0.56,0.24,23,1.98,10,3,C10F3,0,1.98,11.49,100,"",0
16,43,DK4957960F,ADJUSTER-ANCHOR,DK4,3284,65.68,405.215991787096,0.55162647619694,4782.00885832705,119.06607611153,0.4,0.31,0.24,28,1.98,11,3,C11F3,0,1.98,13.99,100,"",0
17,141,DN3215384A,HOSE-SUBTANK,DN3,3244,194.64,232.522400354604,0.949608467662767,3413.46970733539,204.968686177641,0.56,0.48,0.23,16,1.98,5,4,C05F4,0,1.98,13.99,90,"",0
18,4,9YA02122N,BOLT,9YA,3126,12.604032,880.509863117739,0.241648041240146,5469.62047385224,52.1586350765174,0.24,0.14,0.12,60,1.92,12,3,C12F3,0,1.92,16.46,100,"",0
19,5,9YA02100N,BOLT,9YA,3043,12.269376,868.741792241689,0.238418399647826,5314.07702647174,51.4615315685509,0.24,0.14,0.12,60,1.92,12,2,C12F2,0,1.92,16.46,90,"",0
20,6,DN3437160,NUT-HUB,DN3,2998,12.087936,862.294373924351,0.236648963469197,5229.80589823035,51.0796067846433,0.24,0.14,0.12,59,1.92,5,1,C05F1,0,1.92,13.96,60,"",0
21,116,DN3257L30G,"BELT-B,P/TENS",DN3,2671,106.84,258.408591188451,0.703550814703262,3064.12615420546,151.858256386303,0.57,0.49,0.15,18,1.98,5,5,C05F5,0,1.98,13.99,60,"",0
22,121,DN3257L90G,"BELT-B,P/TENS",DN3,2609,104.36,255.391855782443,0.695337362345196,2966.71870149433,150.085419900378,0.57,0.49,0.15,18,1.98,4,2,C04F2,0,1.98,11.49,90,"",0
23,102,DN3213382A,INSULATOR-HEAT,DN3,2294,68.82,276.526068692748,0.564658493030499,2759.81533131701,121.878977912199,0.56,0.24,0.24,19,1.98,4,4,C04F4,0,1.98,11.49,90,"",0
24,106,D6516679YA,BRKT ASSY-HORN,D65,2217,66.51,271.845544381364,0.555100993382263,2636.75947639499,119.816034907001,0.24,0.56,0.24,19,1.98,2,1,C02F1,0,1.98,3.49,60,"",0
25,107,ZJ1413460,GSKT ASSY-EXH MANI,ZJ1,2205,66.15,271.108834234519,0.553596651880993,2617.6300558745,119.491329608367,0.24,0.56,0.24,19,1.98,13,3,C13F3,0,1.98,0.99,100,"",0
26,7,GJ2168885B02,FASTENER,GJ2,2126,6.992414,803.988234478397,0.179987397520691,3669.25803336902,38.8494644420654,0.23,0.13,0.11,55,1.38,14,3,C14F3,0,1.38,3.19,100,"",0
27,26,D65167320A,"ARM&BLADE SET,F",D65,2057,20.57,453.541618817943,0.308706430728241,3114.50672973631,66.6328846842458,0.48,0.12,0.24,31,1.98,2,5,C02F5,0,1.98,3.49,60,"",0
28,27,D6516732XB,"ARM&BLADE SET,F,PGR",D65,2052,20.52,452.990066116245,0.308331012334791,3105.72221513097,66.5518523246019,0.48,0.12,0.24,31,1.98,3,2,C03F2,0,1.98,5.99,90,"",0
