FrequencyRank,ViscosityRank,PartNo,PartName,Prefix,Frequency,DemandVolume_m3,Viscosity,AllocatedVolume_m3,Benefit,ReplenishTrips,BoxWidth_m,BoxDepth_m,BoxHeight_m,TotalBoxesNeeded,WidthNeeded_m,Cabinet,Floor,PositionID,SubPosStart_m,SubPosEnd_m,X,ErgonomicScore,AssociatedWith,AssociationGroup
127,88,9YB041208,NUT-FLANGE,9YB,368,1.483776,302.108989058322,0.0829111046961917,467.560204371245,17.8959863752503,0.24,0.14,0.12,21,0.72,24,4,C24F4,0.96,1.68,16.82,90,"",0
128,90,DF7445911,HOLDER-PIPE,DF7,363,1.463616,300.04959907449,0.0823459235703601,459.390081158768,17.7739945894155,0.24,0.14,0.12,21,0.72,8,1,C08F1,1.12,1.84,3.98,60,"",0
129,92,994501040,BOLT,994,355,1.43136,296.724847157489,0.0814334752015162,446.344298866417,17.5770467422389,0.24,0.14,0.12,21,0.72,24,1,C24F1,0,0.72,15.86,60,"",0
130,93,H26050841,GROMMET-SCREW,H26,353,1.423296,295.887821943728,0.0812037611326043,443.088039984543,17.5274640010305,0.24,0.14,0.12,21,0.72,11,1,C11F1,1.2,1.92,14.56,60,"",0
131,97,994790625,BOLT,994,328,1.322496,285.217822635975,0.0782754754418312,402.568898010185,16.895406799321,0.24,0.14,0.12,20,0.72,24,1,C24F1,0.72,1.44,16.58,60,"",0
132,98,DK5150YF1A,TRNSF L/C DR NM,DK5,328,1.322496,285.217822635975,0.0782754754418312,402.568898010185,16.895406799321,0.24,0.14,0.12,20,0.72,8,5,C08F5,0,0.72,2.86,60,"",0
133,101,B00143694A,BOLT-CONNECTOR,B00,310,1.24992,277.281302353622,0.0760973685734964,373.620915526244,16.4252722982504,0.24,0.14,0.12,19,0.72,23,1,C23F1,0,0.72,13.36,60,"",0
134,103,B00156170C,BOLT-JACK SET,B00,308,1.241856,276.385399196283,0.0758514959806044,370.416972807455,16.3722018128363,0.24,0.14,0.12,19,0.72,23,1,C23F1,0.72,1.44,14.08,60,"",0
135,104,994541090,BOLT,994,304,1.225728,274.584823682638,0.0753573441667488,364.016879266391,16.2655413822406,0.24,0.14,0.12,19,0.72,24,5,C24F5,0,0.72,15.86,60,"",0
136,108,9YA021059A,BOLT,9YA,293,1.181376,269.571235100577,0.0739814097096956,346.471717563424,15.9685521624384,0.24,0.14,0.12,19,0.72,11,5,C11F5,1.2,1.92,14.56,60,"",0
137,111,D65156731,CLIP-OPENER CABLE,D65,284,1.145088,265.398771542952,0.0728363144778535,332.179171843976,15.7213885437349,0.24,0.14,0.12,19,0.72,21,5,C21F5,0,0.72,5.36,60,"",0
138,112,D65168424A,"COVER-RECESS,RH",D65,277,1.116864,262.10760543219,0.0719330834325527,321.103546788617,15.5264302140922,0.24,0.14,0.12,18,0.72,20,1,C20F1,0.96,1.68,3.82,60,D65168454B,4
139,113,D65168454B,"COVER-RECESS,LH",D65,277,1.116864,262.10760543219,0.0719330834325527,321.103546788617,15.5264302140922,0.24,0.14,0.12,18,0.72,19,1,C19F1,0,0.72,0.36,60,D65168424A,4
140,115,9YA110619,BOLT,9YA,272,1.096704,259.73124082466,0.0712809114618165,313.215072273421,15.3856618484386,0.24,0.14,0.12,18,0.72,21,5,C21F5,0.72,1.44,6.08,60,"",0
141,117,9YB041026,MUT-FLANGE,9YB,266,1.072512,256.850583457041,0.0704903408622955,303.774688514734,15.2150207656844,0.24,0.14,0.12,18,0.72,24,5,C24F5,0.72,1.44,16.58,60,"",0
142,118,9YA020659,BOLT,9YA,264,1.064448,255.88315785958,0.0702248395766605,300.634297262153,15.1577135158565,0.24,0.14,0.12,18,0.72,13,1,C13F1,0,0.72,0.36,60,"",0
143,119,9YB041203,NUT-FLANGE,9YB,264,1.064448,255.88315785958,0.0702248395766605,300.634297262153,15.1577135158565,0.24,0.14,0.12,18,0.72,23,5,C23F5,0,0.72,13.36,60,"",0
144,122,994640616,BOLT,994,258,1.040256,252.958682867569,0.069422243622797,291.232847777395,14.9844768148404,0.24,0.14,0.12,18,0.72,23,5,C23F5,0.72,1.44,14.08,60,"",0
145,142,DK5266151,SWITCH-IGNITION,DK5,252,1.185408,231.455024943138,0.0741075503123083,264.063314398252,15.9957790401165,0.24,0.14,0.14,16,0.48,8,5,C08F5,0.72,1.2,3.46,60,"",0
146,127,DF7169532B,BRKT,DF7,248,0.999936,248.007936380948,0.0680635556156777,275.631847553008,14.6912101631328,0.24,0.14,0.12,17,0.72,8,5,C08F5,1.2,1.92,4.06,60,"",0
147,80,9XG04176X7,BOLT&WSHR M6X16 HF,9XG,238,0.559776,318.104505140176,0.050925542932237,311.119283633896,10.9920477577402,0.24,0.14,0.07,22,0.48,17,5,C17F5,1.4,1.88,14.64,60,"",0
148,132,DK49675DYA,TRANSMITTER,DK4,237,0.955584,242.445379219242,0.0665369616515246,258.574473432218,14.3617017711855,0.14,0.24,0.12,17,0.7,22,1,C22F1,0,0.7,10.85,60,"",0
149,134,DK5161695A,BRKT-RELAY,DK5,231,0.931392,239.356776939085,0.0656893224342567,249.318859712971,14.1787426858019,0.24,0.14,0.12,17,0.72,7,5,C07F5,0,0.72,0.36,60,"",0
150,135,GJ6E56802,RUBBER-STOP,GJ6,228,0.919296,237.797432802835,0.0652613744101316,244.704419350089,14.0863720433274,0.24,0.14,0.12,17,0.72,9,5,C09F5,0,0.72,5.36,60,"",0
151,140,GJ6A5114Y,FASTENER-LAMP,GJ6,221,0.891072,234.118576658299,0.0642517453093471,233.973277369392,13.8684481753739,0.24,0.14,0.12,16,0.48,9,5,C09F5,0.72,1.2,5.96,60,"",0
152,147,DN0366YR1,SPKR PRK AID,DN0,213,0.858816,229.842078289379,0.0630780986558534,221.773172075399,13.6151218616401,0.24,0.14,0.12,16,0.48,19,1,C19F1,1.44,1.92,1.68,60,"",0
153,150,994641020,BOLT,994,210,0.84672,228.217732293819,0.0626323114539549,217.216489298225,13.5189007134517,0.24,0.14,0.12,16,0.48,24,1,C24F1,1.44,1.92,17.18,60,"",0
154,151,G03168866B,FASTENER-SEAL,G03,210,0.84672,228.217732293819,0.0626323114539549,217.216489298225,13.5189007134517,0.24,0.14,0.12,16,0.48,14,3,C14F3,1.38,1.86,4.12,100,"",0
155,154,DJ3543825A,CLIP-VAC HOSE,DJ3,198,0.798336,221.60131510698,0.0608164950500748,199.095525479723,13.1269649680185,0.24,0.14,0.12,16,0.48,21,3,C21F3,1.44,1.92,6.68,100,"",0
156,156,994790616,SCREW,994,197,0.794304,221.041007471752,0.0606627236407856,197.593388411768,13.0937741058821,0.24,0.14,0.12,16,0.48,24,5,C24F5,1.44,1.92,17.18,60,"",0
157,158,9XG00087X0,CLIP,9XG,196,0.790272,220.479275922049,0.0605085614509291,196.092516567042,13.0604988955305,0.24,0.14,0.12,16,0.48,18,4,C18F4,1.4,1.88,17.14,90,"",0
158,159,9YA42A815,BOLT,9YA,196,0.790272,220.479275922049,0.0605085614509291,196.092516567042,13.0604988955305,0.24,0.14,0.12,16,0.48,12,4,C12F4,1.44,1.92,17.18,90,"",0
159,143,H3816888500,FASTENER,H38,176,0.578864,231.325972786496,0.051786528751625,184.331685298997,11.1778876467335,0.23,0.13,0.11,16,0.46,23,3,C23F3,1.44,1.9,14.67,100,"",0
