Skus,Part No,Part name,Box type,UnitLabel Qt,ModuleSizeL,ModuleSizeV,ModuleSizeH,Cub M,,,
118.00,"9XG10267X0","CLIP","8AE61",1100.00,280.00,240.00,120.00,8.064e-03,,,
22.00,"9XG104467L","NUT&PLUG CLINCH M6","5AXXX",250.00,180.00,140.00,90.00,2.268e-03,,,
257.00,"9XG10461X0","CAP","5DE16",500.00,280.00,240.00,120.00,8.064e-03,,,
626.00,"9XG10706X3","STUD","8AA25",2000.00,280.00,240.00,120.00,8.064e-03,,,
409.00,"9XG10850X0","GROMMET","8AD14",2300.00,240.00,140.00,120.00,4.032e-03,,,
379.00,"9XG11215X0","PLUG PNL 16X22X0.7-","5AB14",700.00,280.00,240.00,120.00,8.064e-03,,,
576.00,"9XG117312M","BOLT&WSHR M6X12 HX","8AE53",2000.00,240.00,240.00,240.00,0.01,,,
44.00,"9XG11918ZA","BOLT M10X25 HF PIL","8AH18",300.00,280.00,240.00,120.00,8.064e-03,,,
221.00,"9XG12993X3","BOLT M8X21 PC TI P","8AH16",800.00,280.00,240.00,120.00,8.064e-03,,,
699.00,"9XG13090X7","SCREW 5X16 PC TI R","8AD54",2000.00,280.00,240.00,120.00,8.064e-03,,,
238.00,"9XG133920M","NUT M12X1 5","8AD56",650.00,280.00,240.00,120.00,8.064e-03,,,
845.00,"9XG134612M","BOLT","8AXXX",10000.00,280.00,240.00,120.00,8.064e-03,,,
557.00,"9XG13610X0","TRIM PIN 6 5X2-4 5","8DA61",4000.00,470.00,280.00,240.00,0.03,,,
591.00,"9XG136250L","NUT CLIP M6X0 65-1","8AD16",3300.00,280.00,240.00,120.00,8.064e-03,,,
72.00,"9XG137156M","NUT WELD M5 RD 8","5AC55",3000.00,280.00,240.00,120.00,8.064e-03,,,
296.00,"9XG13911X3","SCREW 6X25 PC TI TF","8AE65",2000.00,280.00,240.00,120.00,8.064e-03,,,
393.00,"9XG13939X0","RIVET PUSH PIN 10X3","8AE11",1500.00,240.00,160.00,240.00,9.216e-03,,,
646.00,"9XG141447L","BOLT","8AA12",2000.00,280.00,240.00,120.00,8.064e-03,,,
632.00,"9XG14205X7","NUT U","3AE26",3500.00,280.00,240.00,120.00,8.064e-03,,,
229.00,"9XG14273ZA","BOLT M8X33 RC TI PI","8AD36",650.00,280.00,240.00,120.00,8.064e-03,,,
315.00,"9XG142887L","BOLT","8AE14",350.00,280.00,240.00,120.00,8.064e-03,,,
311.00,"9XG143072M","NUT U SPG 6 3X2 5-3","3AB16",1500.00,240.00,140.00,120.00,4.032e-03,,,
539.00,"9XG14309ZA","SCREW 4 8X19 PC TI","8AC63",4000.00,280.00,240.00,120.00,8.064e-03,,,
17.00,"9XG14343ZC","BOLT&WSHR M14X75 HF","8AJ12",50.00,280.00,240.00,120.00,8.064e-03,,,
75.00,"9XG146214K","BOLT M10X18 5 PN TI","8AJ11",400.00,280.00,240.00,120.00,8.064e-03,,,
111.00,"9XG147254K","BOLT","8AJ14",300.00,280.00,240.00,120.00,8.064e-03,,,
633.00,"9XG14956AJ","SCREW 4X14 PC TIR","8A-",2500.00,280.00,240.00,120.00,8.064e-03,,,
213.00,"9XG150652M","BOLT M10X65 HF PIL","8AB22",150.00,280.00,240.00,120.00,8.064e-03,,,
100.00,"9XG15119X3","BOLT M10X26 PN TI P","8AJ13",400.00,280.00,240.00,120.00,8.064e-03,,,
180.00,"9XG15402X0","SCREW","8AJ16",500.00,280.00,240.00,120.00,8.064e-03,,,
254.00,"9XG15599X0","RIVET BLIND 5 85","8AXXX",2000.00,280.00,240.00,120.00,8.064e-03,,,
391.00,"9YA010509","BOLT","5A064",1400.00,240.00,140.00,120.00,4.032e-03,,,
464.00,"9YA010510","BOLT","4A036",1500.00,240.00,140.00,120.00,4.032e-03,,,
395.00,"9YA020658","BOLT","4A046",1000.00,240.00,140.00,120.00,4.032e-03,,,
198.00,"9YA020659","BOLT","4A045",500.00,240.00,140.00,120.00,4.032e-03,,,
76.00,"9YA020660","BOLT","4A014",1000.00,240.00,140.00,120.00,4.032e-03,,,
422.00,"9YA020661","BOLT","4A044",450.00,240.00,140.00,120.00,4.032e-03,,,
745.00,"9YA020664","BOLT","4A043",1300.00,240.00,140.00,120.00,4.032e-03,,,
261.00,"9YA020667","BOLT","4A042",1000.00,240.00,140.00,120.00,4.032e-03,,,
403.00,"9YA020668","BOLT","4A041",1000.00,240.00,140.00,120.00,4.032e-03,,,
37.00,"9YA020669","BOLT","4A015",900.00,240.00,140.00,120.00,4.032e-03,,,
71.00,"9YA020670","BOLT","4A016",800.00,240.00,140.00,120.00,4.032e-03,,,
31.00,"9YA020843","BOLT","4A021",250.00,240.00,140.00,120.00,4.032e-03,,,
77.00,"9YA020857","BOLT-EARTH","4A023",600.00,240.00,140.00,120.00,4.032e-03,,,
7.00,"9YA02100N","BOLT","4A024",300.00,240.00,140.00,120.00,4.032e-03,,,
10.00,"9YA02100P","BOLT","4A025",300.00,240.00,140.00,120.00,4.032e-03,,,
174.00,"9YA021059A","BOLT","4A051",300.00,240.00,140.00,120.00,4.032e-03,,,
473.00,"9YA021064","BOLT","4A052",90.00,240.00,140.00,120.00,4.032e-03,,,
46.00,"9YA021104","BOLT","4A026",250.00,240.00,140.00,120.00,4.032e-03,,,
4.00,"9YA02122N","BOLT","4A031",60.00,240.00,140.00,120.00,4.032e-03,,,
192.00,"9YA110619","BOLT","4A053",1300.00,240.00,140.00,120.00,4.032e-03,,,
129.00,"9YA110807","BOLT","4A062",500.00,240.00,140.00,120.00,4.032e-03,,,
92.00,"9YA191003A","BOLT-REAMER","4A032",250.00,240.00,140.00,120.00,4.032e-03,,,
804.00,"9YA280501","BOLT","4AXXX",300.00,240.00,140.00,120.00,4.032e-03,,,
570.00,"9YA420501","BOLT","4A054",3000.00,240.00,140.00,120.00,4.032e-03,,,
455.00,"9YA420602","BOLT-EARTH","4A056",1800.00,240.00,140.00,120.00,4.032e-03,,,
56.00,"9YA420608","BOLT-EARTH","4A033",2000.00,240.00,140.00,120.00,4.032e-03,,,
280.00,"9YA420609","BOLT-EARTH","4A065",1500.00,240.00,140.00,120.00,4.032e-03,,,
41.00,"9YA420803","SCREW","4A034",300.00,240.00,140.00,120.00,4.032e-03,,,
250.00,"9YA42A815","BOLT","4A064",1000.00,240.00,140.00,120.00,4.032e-03,,,
114.00,"9YA500603","SCREW-TAPPING","4A035",3000.00,240.00,140.00,120.00,4.032e-03,,,
333.00,"9YA590605A","BOLT","IAXXX",450.00,240.00,140.00,120.00,4.032e-03,,,
277.00,"9YA650503","SCREW-TAPPING","4A036",2600.00,240.00,140.00,120.00,4.032e-03,,,
42.00,"9YA670603","SCREW-TAPPING","4A076",1700.00,240.00,140.00,120.00,4.032e-03,,,
48.00,"9YA750603","BOLT","4A011",600.00,240.00,140.00,120.00,4.032e-03,,,
275.00,"9YA770501","SCREW-TAPPING","4A063",1800.00,240.00,140.00,120.00,4.032e-03,,,
706.00,"9YAK01006A","STUD","4A066",200.00,240.00,140.00,120.00,4.032e-03,,,
243.00,"9YB040608","NUT FLANGE","4A062",2000.00,240.00,140.00,120.00,4.032e-03,,,
66.00,"9YB040810","NUT-FLANGE","4A041",800.00,240.00,140.00,120.00,4.032e-03,,,
196.00,"9YB041026","MUT-FLANGE","4A061",500.00,240.00,140.00,120.00,4.032e-03,,,
109.00,"9YB041028","NUT-FLANGE","4A054",600.00,240.00,140.00,120.00,4.032e-03,,,
199.00,"9YB041203","NUT-FLANGE","4A071",500.00,240.00,140.00,120.00,4.032e-03,,,
133.00,"9YB041208","NUT-FLANGE","4A066",500.00,240.00,140.00,120.00,4.032e-03,,,
467.00,"9YB120607","WASHER AND NUT","4A072",1500.00,240.00,140.00,120.00,4.032e-03,,,
273.00,"9YB160610","NUT","4A014",600.00,240.00,140.00,120.00,4.032e-03,,,
282.00,"9YB160611","NUT","4A073",2000.00,240.00,140.00,120.00,4.032e-03,,,
164.00,"B00143694A","BOLT-CONNECTOR","IA022",600.00,240.00,140.00,120.00,4.032e-03,,,
405.00,"B00156051","PLUG-HOLE","4DD11",4000.00,240.00,560.00,240.00,0.03,,,
170.00,"B00156170C","BOLT-JACK SET","4A074",160.00,240.00,140.00,120.00,4.032e-03,,,
15.00,"B00237160B","NUT-HUB","4A042",250.00,240.00,140.00,120.00,4.032e-03,,,
707.00,"B09251861","NUT CLIP","4A075",1000.00,240.00,140.00,120.00,4.032e-03,,,
64.00,"B10068615","CAP NUT-FLANGE","4A043",400.00,240.00,140.00,120.00,4.032e-03,,,
702.00,"B21434C10","BAND","4C-",2000.00,240.00,560.00,240.00,0.03,,,
