"CabinetNo","FloorNo","FloorID","PartNo","PartName","Viscosity","Freq","FreqRank","PositionsAllocated","BoxesAllocated","BoxesPerPosition","PositionWidth_mm","WidthUsed_mm","PositionVolumeUsed_m3","BoxVolumeUsed_m3","PositionUtilization_pct","PercentOfFloorWidth","PercentOfFloorVolume","BoxWidth_mm","BoxDepth_mm","BoxHeight_mm","BoxesPerHeight","BoxesPerDepth","IsPrimary","IsBackfill"
21,1,"C21F1","D6513438XB","BRG-STRUT",344.770455037358,3566,14,3,6,2,560,1680,0.34272,0.18,52.5210084033613,84.8484848484848,84.8484848484849,560,240,230,1,2,TRUE,FALSE
21,1,"C21F1","994641040","BOLT",342.86954342654,474,104,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
21,2,"C21F2","ZJ3815980C","TENSIONER-AUTO",350.903595497871,3694,12,3,6,2,560,1680,0.34272,0.18,52.5210084033613,84.8484848484848,84.8484848484849,560,240,240,1,2,TRUE,FALSE
21,2,"C21F2","9XG146214K","BOLT M10X18 5 PN TI",348.96388588333,982,55,1,4,4,280,280,0.05712,0.032256,56.4705882352941,14.1414141414141,14.1414141414141,280,240,120,2,2,TRUE,FALSE
21,3,"C21F3","ZJ3815980C","TENSIONER-AUTO",350.903595497871,3694,12,3,6,2,560,1680,0.34272,0.18,52.5210084033613,84.8484848484848,84.8484848484849,560,240,240,1,2,TRUE,FALSE
21,3,"C21F3","994641040","BOLT",342.86954342654,474,104,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
21,4,"C21F4","ZJ3815980C","TENSIONER-AUTO",350.903595497871,3694,12,2,4,2,560,1120,0.22848,0.12,52.5210084033613,56.5656565656566,56.5656565656566,560,240,240,1,2,TRUE,FALSE
21,4,"C21F4","9XG146214K","BOLT M10X18 5 PN TI",348.96388588333,982,55,2,8,4,280,560,0.11424,0.064512,56.4705882352941,28.2828282828283,28.2828282828283,280,240,120,2,2,TRUE,FALSE
21,4,"C21F4","994641040","BOLT",342.86954342654,474,104,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
21,5,"C21F5","D6513438XB","BRG-STRUT",344.770455037358,3566,14,3,6,2,560,1680,0.34272,0.18,52.5210084033613,84.8484848484848,84.8484848484849,560,240,230,1,2,TRUE,FALSE
21,5,"C21F5","994641040","BOLT",342.86954342654,474,104,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
