PartNo,Freq,Volume,Viscosity,AllocatedVolume_m3,Benefit
994641040,474,1.911168,342.86954342654,0.0945120045701109,644.678531680768
B6BG18401B,474,1.911168,342.86954342654,0.0945120045701109,644.678531680768
9XG02042AF,943,7.59636864,342.143801648227,0.188425882535444,1281.27665697112
DK1239040A,1141,11.2933333333333,339.527199217183,0.229746347348838,1544.66510020815
9YB041028,460,1.85136672,338.073870213398,0.093021592082033,621.461777008611
904400825,460,1.85472,337.768118074074,0.0931057964496465,621.191536285863
D65145915,451,1.8182304,334.46608333099,0.0921853691883588,606.145503346923
9XG02913X0,445,1.79055621818182,332.556951510479,0.091481130427483,596.405647293374
L206614H5A,444,1.790208,331.841901542056,0.0914722346046366,594.434197042795
ZJ0818867,444,1.790208,331.841901542056,0.0914722346046366,594.434197042795
DJ3534170,3285,99.074,330.031600209873,0.680483173428837,4386.09588887886
DL3334155,1065,10.65,326.343377441614,0.22310656298861,1413.97444763579
DN3220360A,487,2.290848,321.759089327133,0.103475058141821,641.913015782962
9XG04176X7,238,0.559104,318.295616304992,0.0511191756352753,311.941016345092
9XF003402M,792,6.38117052631579,313.527042873722,0.172698162711049,1029.752309161
DN321006Y,1954,39.08,312.569992161756,0.427380614806945,2536.38888875483
9YA500603,385,1.55232,309.008270295653,0.0851781431576526,496.634097236621
DK49675DY,382,1.5401736,307.807023623448,0.0848442430524661,491.70569730095
9YA110807,376,1.512588672,305.722514665919,0.0840810184899152,482.155146934604
D35045919A,374,1.50761856,304.597170372665,0.0839427667851964,478.598844116393
9XG15119X3,737,5.943168,302.314156476916,0.166665820784267,939.112165286768
9YB041208,368,1.483776,302.108989058322,0.0832763559842672,468.737585153164
DN3266120B,4526,226.29,300.872066129052,1.02841931153183,5751.4493763987
DF7445911,363,1.46012832,300.407736373015,0.0826100821754145,460.875886535334
DN0366YR1,213,0.504,300.029760428623,0.0485347514800383,270.23532068338
9XG042957L,422,2.01581184,297.226450470879,0.0970649729442355,532.485179742733
994501040,355,1.43136,296.724847157489,0.0817922170349391,447.500696541475
H26050841,353,1.423296,295.887821943728,0.0815614909983315,444.241175600422
D4363719X,863,8.63,293.768616431368,0.200836636673124,1081.44628637309
DN3409010,827,8.27,287.576076890968,0.196603070716123,1023.03325289808
9XG147254K,658,5.3039616,285.710175549385,0.157448209984875,810.694642716847
DK5150YF1A,328,1.3203456,285.449990214211,0.0785563602729055,403.8856717496
994790625,328,1.322496,285.217822635975,0.0786203052247007,403.680450447202
