PartNo,Freq,Volume,COI,AllocatedVolume_COI,Benefit_COI
D65167320A,2057,20.57,0.00121536217792902,0.312388541851561,3126.28771653662
D6516732XB,2052,20.52,0.00121832358674464,0.312008645636773,3117.48887505404
D65133042,815,3.28608,0.00123680981595092,0.124858184614829,1235.22251583221
DK1239080,1989,19.89,0.0012569130216189,0.307181701503609,3006.75074088196
DK4962361D,772,3.065612,0.00128594559585492,0.120597010960173,1162.69552459152
9XG09643X0,1563,12.604032,0.00128982725527831,0.244530310127386,2352.84234972135
D35042239,775,3.1248,0.00130064516129032,0.121755633046975,1165.03218514813
D65150670C,766,3.088512,0.00131592689295039,0.121046600361908,1149.27400966662
D65150660C,764,3.080448,0.00131937172774869,0.120888472795562,1145.77397851538
DN2439070,5656,169.68,0.00132602545968883,0.897208290283571,8475.20053262597
D37437790A,5540,166.2,0.00135379061371841,0.887960117145599,8272.44147134232
9YA420608,744,2.999808,0.00135483870967742,0.119295669709855,1110.81011448748
DN24437A0,1807,18.07,0.00138350857775318,0.292790530375555,2688.25284672858
DP0757730C,3609,72.18,0.00138542532557495,0.585175842336553,5367.78691588347
9YB040810,699,2.818368,0.00144206008583691,0.115631670462948,1032.39497301437
B10068615,685,2.76192,0.00147153284671533,0.114467842574792,1008.074772197
9YA020660,668,2.693376,0.00150898203592814,0.113038514882782,978.594030522302
DK4957960F,3284,65.68,0.00152253349573691,0.558206028100446,4803.06026376569
D65139060F,1633,16.33,0.00153092467850582,0.278337064404702,2385.95191684625
9XG11918ZA,1311,10.571904,0.00153775743707094,0.223951799008891,1913.90763056248
DK4966370A,1616,16.16,0.0015470297029703,0.276884489609032,2356.54467802702
DK4968YB1,651,2.624832,0.00154838709677419,0.111590880945006,949.171169663913
9YA020857,640,2.58048,0.001575,0.110644084280436,930.164758001037
9YA020670,639,2.576448,0.00157746478873239,0.110557609797292,928.438173628581
DN3237790,4676,140.28,0.00160393498716852,0.815785212454623,6772.6445914009
DL3356514,626,2.524032,0.00161022364217252,0.109427223102535,906.012238211288
992822200H,623,2.511936,0.00161797752808989,0.109164702397038,900.842278019874
DR6246310,547,2.021712,0.00168921389396709,0.097934924879132,784.348667368389
DF5042250,1476,14.76,0.00169376693766938,0.264619063940278,2115.32558696539
S09268786,590,2.37888,0.00170847457627119,0.106234167187186,844.108064808135
DR6134011B,8662,519.72,0.00173170168552297,1.57022781067346,12359.2426908957
GJ6A58225A,1139,9.184896,0.00176997366110623,0.208744514500875,1617.99012942003
9YA191003A,568,2.290176,0.00177464788732394,0.104234714132588,806.429949505087
D65162620A,532,2.145024,0.00189473684210526,0.100877434306814,745.045020414177
D65163620A,532,2.145024,0.00189473684210526,0.100877434306814,745.045020414177
994541025,507,2.044224,0.00198816568047337,0.0984786738242086,702.629438138695
D65357540B02,3746,112.38,0.00200213561131874,0.730167442034514,5183.35145864212
DN246909X,1245,12.45,0.00200803212851406,0.243031532696226,1721.58119471918
ZJ3815980C,3694,110.82,0.00203031943692474,0.725081831390111,5095.43117806017
9XG146214K,982,7.918848,0.00205295315682281,0.193824625509954,1351.16393911516
D6513438XB,3566,106.98,0.00210319685922602,0.712408753159117,4879.50100573008
994641040,474,1.911168,0.00212658227848101,0.0952198258068982,646.933286665148
B6BG18401B,474,1.911168,0.00212658227848101,0.0952198258068982,646.933286665148
9XG02042AF,943,7.604352,0.00213785790031813,0.189936773388209,1285.45657723234
DK1239040A,1141,11.41,0.00219106047326906,0.232659490288313,1546.37559117872
904400825,460,1.85472,0.00219130434782609,0.0938030862838301,623.412743629569
9YB041028,460,1.85472,0.00219130434782609,0.0938030862838301,623.412743629569
D65145915,451,1.818432,0.0022350332594235,0.092880914492039,608.328472871163
9XG02913X0,445,1.79424,0.00226516853932584,0.0922610126970288,598.288482716094
L206614H5A,444,1.790208,0.00227027027027027,0.0921572903340548,596.6164328111
ZJ0818867,444,1.790208,0.00227027027027027,0.0921572903340548,596.6164328111
DJ3534170,3285,98.55,0.00228310502283105,0.683764051693524,4408.07002380614
DL3334155,1065,10.65,0.00234741784037559,0.224777457221234,1419.29705863356
DN3220360A,487,2.290848,0.00241478439425051,0.104250005662654,644.381600638034
9XG04176X7,238,0.559776,0.00247058823529412,0.0515329598482032,313.062725977057
9XF003402M,792,6.386688,0.00254545454545455,0.174066741886508,1033.63455418461
DN321006Y,1954,39.08,0.00255885363357216,0.430581362444534,2546.58482709987
9YA500603,385,1.55232,0.00261818181818182,0.0858160610487325,498.666176057915
DK49675DY,382,1.540224,0.00263874345549738,0.0854810588810276,493.725388262267
9YA110807,376,1.516032,0.00268085106382979,0.084807084694768,483.856364573243
D35045919A,374,1.507968,0.0026951871657754,0.0845812332027235,480.570463405449
9XG15119X3,737,5.943168,0.00273541383989145,0.167914017856525,943.08828019247
9YB041208,368,1.483776,0.00273913043478261,0.0839000309719689,470.724293398223
DN3266120B,4526,226.3,0.00276182059213434,1.03614426387372,5775.91179650086
DF7445911,363,1.463616,0.00277685950413223,0.0833281086204842,462.532601501973
9XG042957L,422,2.020536,0.00283649289099526,0.097906437086381,534.43874027139
994501040,355,1.43136,0.00283943661971831,0.0824047769788804,449.451997964843
H26050841,353,1.423296,0.00285552407932011,0.0821723229841226,446.186972636454
D4363719X,863,8.63,0.00289687137891078,0.20234074651831,1086.23760795858
DN3409010,827,8.27,0.0030229746070133,0.198075474452595,1027.72357510274
9XG147254K,658,5.306112,0.00306382978723404,0.158659527449471,814.349192894527
994790625,328,1.322496,0.00307317073170732,0.0792091100218676,405.556080171544
DK5150YF1A,328,1.322496,0.00307317073170732,0.0792091100218676,405.556080171544
D6524608XA,787,7.87,0.00317662007623888,0.193225889971332,963.057025342129
9XG10267X0,623,5.023872,0.00323595505617978,0.154382202662314,757.873268417903
B00143694A,310,1.24992,0.00325161290322581,0.0770050236768217,376.52497584202
DN3213382A,2294,68.82,0.00326939843068875,0.571393484955221,2781.36407015404
B00156170C,308,1.241856,0.00327272727272727,0.0767562184264951,373.311650028215
994541090,304,1.225728,0.00331578947368421,0.0762561725925955,366.892698454351
ZJ2113390,4436,266.16,0.00338142470694319,1.12369731727036,5319.08593796577
D6516679YA,2217,66.51,0.003382949932341,0.561721987760245,2657.94347784403
ZJ1413460,2205,66.15,0.00340136054421769,0.560199703151791,2638.75664799997
9YA021059A,293,1.181376,0.00344027303754266,0.0748638266096881,349.295027752338
D65157510B,711,7.11,0.00351617440225035,0.183659226310141,841.304969629443
D65157520B,709,7.09,0.00352609308885755,0.183400733252676,838.122274792222
D65156731,284,1.145088,0.00354929577464789,0.0737050731981945,334.958782419054
D65168424A,277,1.116864,0.00363898916967509,0.0727910688202133,323.848687874358
D65168454B,277,1.116864,0.00363898916967509,0.0727910688202133,323.848687874358
DN3257720B,2049,61.47,0.00366032210834553,0.540019642074054,2390.56210670656
9YA110619,272,1.096704,0.00370588235294118,0.0721311180362464,315.935324893571
DN3257L30G,2671,106.84,0.00374391613627855,0.711942451620343,3090.97536120712
9YB041026,266,1.072512,0.00378947368421053,0.0713311178670484,306.464771041647
9YA020659,264,1.064448,0.00381818181818182,0.0710624498017814,303.314247615486
9YB041203,264,1.064448,0.00381818181818182,0.0710624498017814,303.314247615486
DN5557510,654,6.54,0.00382262996941896,0.176143582196625,751.067985920183
DN3257L90G,2609,104.36,0.00383288616328095,0.703631032905641,2993.25446321535
994640616,258,1.040256,0.00390697674418605,0.0702502808452362,293.882169120778
DG9969452,631,6.31,0.00396196513470682,0.173018534729736,714.948782927516
DG9969453,631,6.31,0.00396196513470682,0.173018534729736,714.948782927516
ZJ2140080,629,6.29,0.00397456279809221,0.172744119751743,711.816430130334
D65142631C,616,6.16,0.00405844155844156,0.17094968550972,691.490084907198
DF7169532B,248,0.999936,0.00406451612903226,0.0688753870201417,278.229318063741
DN0357KN0,1843,55.29,0.00406945198046663,0.512154797301262,2066.66536841955
TC4042239,605,6.05,0.00413223140495868,0.169416473502904,674.337805387948
9XG039577L,484,3.902976,0.00416528925619835,0.136074231567599,537.759539880876
ZJ3918861B,599,5.99,0.00417362270450751,0.168574298576322,665.000599979835
DK49675DYA,237,0.955584,0.00425316455696203,0.0673305845314595,261.11368541138
DF8743481,575,5.75,0.00434782608695652,0.165162661415511,627.787538292235
DK5161695A,231,0.931392,0.00436363636363636,0.066472835055772,251.825723721906
GJ6E56802,228,0.919296,0.00442105263157895,0.0660397826605584,247.194951823553
DK4961157A,561,5.61,0.00445632798573975,0.163139595338814,606.184082808137
DN325697Y,561,5.61,0.00445632798573975,0.163139595338814,606.184082808137
DN2443621,556,5.56,0.00449640287769784,0.162410964652209,598.487872425395
DK4961158B,555,5.55,0.00450450450450451,0.162264845895995,596.949871734018
GJ6A5114Y,221,0.891072,0.00456108597285068,0.0650181111590579,236.425279945434
DN3215384A,3244,194.64,0.00462392108508015,0.960934969327573,3449.70907169397
DK5266151,252,1.185408,0.00466666666666667,0.0749914717605373,266.891438418776
H3816888500,176,0.578864,0.004671875,0.0524042151182635,186.307984951121
9XF20214ZD,431,3.475584,0.00467749419953596,0.128407929923015,455.998906210418
9XF002437L,430,3.46752,0.00468837209302326,0.12825887830003,454.470178677776
D6516851XC02,531,5.31,0.00470809792843691,0.158717644888672,560.165436767487
DN0366YR1,213,0.858816,0.00473239436619718,0.063830465777428,224.180385446044
D6516851YC02,527,5.27,0.0047438330170778,0.158118708243414,554.059158854831
CD8466290D02,525,5.25,0.00476190476190476,0.157818387538796,551.008714965858
994641020,210,0.84672,0.0048,0.0633793614267715,219.60669034707
G03168866B,210,0.84672,0.0048,0.0633793614267715,219.60669034707
ZJ3918861A,516,5.16,0.00484496124031008,0.15645981086162,537.304272236044
DP0446086,495,4.95,0.00505050505050505,0.153242966158451,505.475314389134
DJ3543825A,198,0.798336,0.00509090909090909,0.0615418867834992,201.416430566591
