PartNo,Volume,Freq,Viscosity
DK5161190D,125.466,2092,186.766359718765
BP4K67519A,0.56448,140,186.338998124983
DK5162310D,31.0315384615385,1037,186.156027520962
FU5119065,0.556416,138,185.003217475239
9YA420609,0.548583168,137,184.969161607617
DL3357K30,30,1000,182.574185835055
9XG013892M,2.1397824,266,181.843101930827
9YA650503,0.536256,133,181.620789314195
9YB160611,0.525002688,131,180.796713708702
D65159951,117.54,1959,180.693109995927
D65158951,117.24,1954,180.462369115189
9XG133920M,2.112768,262,180.250046782461
DN3215185A,112.494,1875,176.781409530415
9YA590605A,0.508032,126,176.776695296637
9XF000242M,0.70426692,148,176.357149472612
G51861764A,0.491904,122,173.948085669077
D65141600A,108.36,1806,173.493515728975
DN343717XA,107.6125,1795,173.034655445468
9XG15599X0,1.929650688,240,172.771415894667
DN0357KM0,106.32,1772,171.852650062003
9XG00671X0,2.4846336,270,171.290227898706
9XG096389L,1.73293714285714,223,169.40002025347
L20642240A,25.8,860,169.312334656004
9XF004332M,1.8434304,229,168.663888931884
DP04194J1,25.44,848,168.126936172247
DH06676N8A,2.81,281,167.630546142402
9XG03453X0,0.4473504,111,165.958332984135
170861031,2.71,271,164.620776331543
D65168676,2.7,270,164.31676725155
DN2056031A,23.82,794,162.685791225499
994641025,0.415296,103,159.830018834495
ZJ38188G1D,22.56,752,158.324561160506
853162873,0.407232,101,158.270664289385
DN3456620A,22.17,740,157.162479956251
B37F69220C,88.74,1479,157.003184681076
DK5162310C,22.1561538461538,739,156.999132364166
D65156041A,88.44,1474,156.737572606783
FNFB199E1,21.96,732,156.204993518133
9XF000342M,0.700765714285714,130,155.294805677517
DN3266470,2.4,240,154.919333848297
9XF001255J,1.5188544,189,153.357045253581
BW2R67C42,0.379008,94,152.687563552151
DN2518881D,2.293,230,151.888820174004
GJ6A68885,0.374976,93,151.873224073489
9XG13911X3,1.49184,185,151.464412499994
9X707612X0,0.37029888,92,151.186017840564
D65133048,2.279225,228,151.022358064016
D65146086A,2.28,228,150.996688705415
D65172973A,2.28,228,150.996688705415
D65173973A,2.28,228,150.996688705415
9XG036623H,1.47313152,183,150.775344245732
9XG05125X3,1.467648,182,150.231303144333
994590612,0.36288,90,149.403576166799
9XG10461X0,1.45152,180,149.403576166799
BC1D45916,2.21,221,148.660687473185
994640625,0.358848,89,148.571237789865
S08462625C,0.358848,89,148.571237789865
DN56568D0,2.2,220,148.323969741913
DN036756XB,19.61625,654,147.662342739102
9XF201012M,0.679125,121,146.828550453987
DE9069220A,34.379,860,146.673559366537
9XG142887L,1.37834496,172,146.504001089206
GJ2168885B75,0.288288,78,145.271800786994
D65161202,0.34272,85,145.194177591077
DF7841600A,75.36,1256,144.683562761405
LF5015205A,2.06217391304348,207,144.147694656428
DN3237YA3A,8.26,413,143.701078631999
D65143825C,2.06,206,143.527000944073
9YA020658,0.334656,83,143.475842776118
D65168AD2A,2.05,205,143.178210632764
9YA010509,0.245952,71,143.163784221682
ZJ3920310,73.26,1221,142.653426176871
DK5268YA2A,1.0350714,145,142.522308380978
DF7145460,0.32505984,81,142.070320517453
9YA020668,0.326592,81,141.73667737846
GJ6E51832A,0.326592,81,141.73667737846
EA0332C18A,0.32256,80,140.859042454753
9XG010692M,1.257984,156,139.087160066047
DR8657730B,7.66888888888889,384,138.664407919845
DN2413382,1.92,192,138.56406460551
9XG083322M,1.2316416,153,137.863486121732
DN2418861A,17.09925,570,137.843510438049
DN4857730C,7.58,379,137.658998979362
DN3237YA2,16.809,561,136.83333835138
9XG01054X0,1.8568,186,136.499286256899
9XG10850X0,0.302119513043478,75,136.449476995007
D35262625,0.3024,75,136.386181397495
EG2151146,0.3024,75,136.386181397495
DL413298002,148.05,1645,135.195331937822
ZJ38188G1C,16.44,548,135.154232884755
DN326124YA,68.49,1112,134.366561692831
D65156651,61.8,1030,131.021626713557
DK5066151,1.7,170,130.384048104053
G51861764,0.274051938461538,68,129.895011749226
DN1439080,15.114375,504,129.638930595767
D35467519,0.270144,67,128.907189450641
DN4866960A,26.308,659,128.481766173316
DN244655Y,1.63,163,127.671453348037
GJ6A50ES1,1.61,161,126.885775404495
9XG001332M,1.0374912,129,126.647756077539
GJ2168885B36,0.218064,59,126.345571601079
D65167420,57.42,957,126.293309403151
BN8V50715A,0.258048,64,125.988157669742
DN241886ZC,14.28,476,125.962957517941
DK4963YB1A,1.552,156,125.221453318247
DP0418884A,14.00925,467,124.769788188541
DK4963YB2A,1.55,155,124.498995979887
DN0361YC1,1.57432,156,124.330617893828
C20113460,0.835296,113,123.639785412288
9XG022369L,0.9282,119,123.516841994969
DN321553X,54.7308,913,123.411286432483
DK4964950B68,13.53,451,122.610494384997
DK496452068,13.4357142857143,449,122.49432279698
DN3213381,1.5,150,122.474487139159
DP0418881K,53.58,893,121.997267728967
DG9972863,1.48,148,121.655250605964
9XF006342M,0.957918315789474,119,121.585762516946
DK4964960D68,13.23,441,121.243556529821
DK4373YA3A91,1.45041666666667,146,121.228983880117
GAL169470B75,52.14,869,120.346721323571
DL3355540,12.9,430,119.721899973786
DN3215909,12.7791,426,119.167949006549
B61220468,1.41,141,118.743420870379
9X701107X3,1.340248,137,118.339024035919
BR7051264,1.4,140,118.321595661992
9YA420602,0.22481088,56,118.10801327541
9XG034042M,0.903168,112,117.851130197758
9YA020661,0.225792,56,117.851130197758
DK4363YB3C,5.5296,277,117.796642144261
9XG035052M,0.885298176,110,116.908987811232
