PartNo,Volume,Freq,Viscosity
Y60118401A,0.0108,2,19.2450089729875
DK4750YM1,1.26,21,18.7082869338697
DF7143630B,0.3,10,18.2574185835055
DN5067B21B,0.3,10,18.2574185835055
9XF052512M,0.012768,2,17.6998081351197
Y40513458,0.0132,2,17.4077655955698
D65159973A,1.08,18,17.3205080756888
DL7943621,0.03,3,17.3205080756888
Y60313230,0.03,3,17.3205080756888
D65158973A,1.02,17,16.8325082306035
DJ3541362A,3.72,32,16.5912271156868
DN3415384B,0.83,15,16.4646389984536
DF7143640A,0.96,16,16.3299316185545
DN0369531A21,3.84,32,16.3299316185545
DN3343490A,0.24,8,16.3299316185545
Y64513380,0.24,8,16.3299316185545
Y601102D1,0.21,7,15.2752523165195
Y64510440,0.21,7,15.2752523165195
DN2843490A,3.12,26,14.7196014438797
DN3215355,0.78,13,14.7196014438797
DG8066170,0.18,6,14.142135623731
D6513438XA,0.72,12,14.142135623731
NF5166141A02,0.02,2,14.142135623731
DK4958560J,12,48,13.856406460551
DK4959560J,12,48,13.856406460551
DR645617Y,2.55692307692308,22,13.7582706774396
Y64513240,2.322,20,13.124987182636
DK5168YA3,0.84,12,13.0930734141595
DN2419880,2.3892,20,12.9390902664298
DN64675D0,0.6,10,12.9099444873581
DR8657730A,0.15,5,12.9099444873581
9XF000122M,0.00616,1,12.7411797859406
DR964630Y,3.84,24,12.2474487139159
DL33675D0,0.48,8,11.5470053837925
DN3415909,0.12,4,11.5470053837925
Y40718884A,7.7490234375,31,11.1362303751819
DR964630YA,3.04,19,10.8972473588517
DP55675D0,0.42,7,10.8012344973464
DN0461757,1.56,13,10.4083299973307
9XG008432M,0.01,1,10
DD106039X,0.36,6,10
DJ5161472,0.01,1,10
DN3413390,0.36,6,10
DN6209010A,0.01,1,10
Y60118211B,0.09,3,10
Y64513532,0.01,1,10
Y64513F61A,0.01,1,10
D65146100C,0.49,7,10
DN3266350,59.76,72,9.31380630847599
Y60313221D,0.2916,5,9.25925925925926
DN346124Y,0.3,5,9.12870929175277
Y6461025X,0.2,4,8.94427190999916
DF7145510,1.08,9,8.66025403784439
DN3415185A,1.08,9,8.66025403784439
DN3456YB1A,0.24,4,8.16496580927726
DN346124X,0.24,4,8.16496580927726
Y60140350B,0.06,2,8.16496580927726
DN346122Y,0.72,6,7.07106781186548
DN77675D0,0.18,3,7.07106781186548
DN5056020,0.6,5,6.45497224367903
DF71675R0B,0.1,2,6.32455532033676
Y60318845C,0.03,1,5.77350269189626
DN3415242B,0.03,1,5.77350269189626
DN57675D0,0.36,3,5
DN5318881A,0.06,1,4.08248290463863
Y40515381B,0.24,2,4.08248290463863
Y40515383B,0.24,2,4.08248290463863
Y63513358,0.06,1,4.08248290463863
Y6451025XA,0.06,1,4.08248290463863
